Species	Sex	Wingcrd	Tarsus	Head	Culmen	Nalospi	Wt	Observer	Age
SSTS	Female	55	21.7	31.4	12.6	9.6	19.6	3	1
SSTS	Female	53	21	31.4	12.4	9.6	17.2	3	0
SSTS	Female	55	21.6	31.5	12.4	9.6	19.3	3	0
SSTS	Male	58	21.3	31.5	13.1	9.6	20.1	3	0
SSTS	Male	59.5	22.2	31.6	13.2	9.6	21.5	3	0
SSTS	Female	55	21.6	31.6	13.1	9.6	20.1	3	0
SSTS	Female	54	21.6	31.7	13.5	9.6	18.5	3	0
SSTS	Female	54.5	21.2	31.7	12.6	9.6	19.1	3	0
SSTS	Female	55	20.6	31.7	12.9	9.6	18.5	3	0
SSTS	Male	58	20.5	31.7	12.5	9.6	19.2	3	1
SSTS	Female	58	22.2	31.8	13	9.6	20.4	3	0
SSTS	Female	56	21.4	31.9	12.7	9.6	16.6	3	0
SSTS	Male	57.5	20.7	31.9	13.1	9.6	19.7	3	0
SSTS	Female	55	21	32	12.2	9.6	21.2	3	0
SSTS	Male	58	20.8	32.1	12.3	9.6	20.7	3	0
SSTS	Male	58	21.3	32.3	12.3	9.6	19.1	3	0
SSTS	Male	59.5	20.9	32.3	12.8	9.6	20.3	3	0
SSTS	Male	56	21.9	32.5	13.1	9.6	20.5	3	0
SSTS	Male	59	21.5	32.5	13.4	9.6	20.5	3	0
SSTS	Male	59	21.7	32.9	11.8	9.6	21.4	3	0
SSTS	Male	59	21	30.1	12.2	9.5	19.5	3	0
SSTS	Female	54.5	21.8	30.5	12.1	9.5	16.5	3	0
SSTS	Female	54.5	21.2	30.5	12.5	9.5	19.2	3	0
SSTS	Male	57	21.5	30.8	13.1	9.5	20.7	3	0
SSTS	Male	59	20.1	30.9	12.3	9.5	18.8	3	1
SSTS	Male	56	20.9	31.2	12.5	9.5	19	3	1
SSTS	Female	54.5	20.6	31.3	13.1	9.5	16.5	3	0
SSTS	Female	52.5	21.8	31.4	13	9.5	18.2	3	0
SSTS	Male	58.5	21.2	31.5	13.1	9.5	20.5	3	0
SSTS	Male	57	20.5	31.5	12.7	9.5	19.1	3	1
SSTS	Female	56	21.3	31.6	13.6	9.5	20	3	0
SSTS	Female	55	20.7	31.7	12.4	9.5	17.4	3	0
SSTS	Male	56	21.9	31.8	13.2	9.5	21.2	3	0
SSTS	Female	54	21.7	31.9	12.8	9.5	17.5	3	0
SSTS	Male	56.5	21.4	31.9	13.1	9.5	18.8	3	0
SSTS	Male	58	21.4	31.9	12.4	9.5	19.8	3	0
SSTS	Male	55	22.2	32	12.8	9.5	19.8	3	0
SSTS	Male	60	21	32	13	9.5	19.7	3	0
SSTS	Male	59.5	20.8	32	12	9.5	19	3	0
SSTS	Male	57	22.1	32.1	12.7	9.5	20.7	3	0
SSTS	Male	59.5	22.6	32.2	12.7	9.5	20.1	3	0
SSTS	Male	58	22.6	32.2	13.1	9.5	20.3	3	0
SSTS	Male	58	21.3	32.2	12.6	9.5	20.3	3	0
SSTS	Female	54	21.3	32.2	13.1	9.5	18.8	3	0
SSTS	Male	59.5	21.5	32.4	12.4	9.5	20.2	3	0
SSTS	Male	58	21.9	32.6	13.3	9.5	21.5	3	0
SSTS	Male	57	20.2	30.4	11.9	9.4	19.1	3	0
SSTS	Male	56	22.2	31.1	12.7	9.4	19.7	3	1
SSTS	Male	57.5	21.9	31.4	12.6	9.4	19.5	3	0
SSTS	Male	58	21.6	31.4	12.4	9.4	19.8	3	0
SSTS	Female	54	21.4	31.6	12.9	9.4	16.5	3	0
SSTS	Male	60	21.9	31.7	12.8	9.4	19.3	3	0
SSTS	Male	59	21.6	31.7	13.2	9.4	19.5	3	1
SSTS	Male	59	21.3	31.7	13.1	9.4	20.8	3	0
SSTS	Male	58.5	21.2	31.7	13.2	9.4	21.2	3	0
SSTS	Male	58.5	21.6	31.9	12.3	9.4	19.7	3	0
SSTS	Male	61	21.3	31.9	12.5	9.4	21	3	0
SSTS	Male	59	20.9	31.9	12	9.4	20.6	3	0
SSTS	Female	58.5	20.1	32	12.8	9.4	16.9	3	0
SSTS	Male	57	21.4	32.1	12.7	9.4	19.2	3	0
SSTS	Male	57	21.4	32.1	12.9	9.4	20.1	3	0
SSTS	Male	61	21.8	32.7	12.8	9.4	21.4	3	0
SSTS	Female	57.5	20.8	30.1	12.7	9.3	17.1	3	0
SSTS	Female	56.5	21.1	31	12.8	9.3	21.5	3	0
SSTS	Female	56	21.9	31.2	13.1	9.3	17.4	3	0
SSTS	Male	59.5	21.6	31.2	13.2	9.3	22.8	3	0
SSTS	Male	58	20.5	31.3	12.7	9.3	20.1	3	0
SSTS	Male	57	21.8	31.4	12.6	9.3	20.2	3	0
SSTS	Male	58.5	21.7	31.6	12.3	9.3	19.9	3	0
SSTS	Male	57	21.9	32	12.4	9.3	20.5	3	1
SSTS	Male	58	21.6	32.1	12.6	9.3	20.5	3	0
SSTS	Female	58.5	21.8	30.6	12.1	9.2	21.2	3	0
SSTS	Female	56	20.8	30.8	12.2	9.2	17.6	3	0
SSTS	Female	55	20.5	30.9	12.5	9.2	17.2	3	0
SSTS	Female	54	22.1	31.1	12.5	9.2	18.8	3	0
SSTS	Male	59	20.7	31.2	11.6	9.2	20.2	3	0
SSTS	Female	55	21.5	31.3	12.4	9.2	16.9	3	0
SSTS	Male	59	21.7	31.6	12.9	9.2	19.4	3	1
SSTS	Male	55	20.8	31.6	12.8	9.2	18.2	3	1
SSTS	Female	57	20.7	31.8	12.7	9.2	23.2	3	0
SSTS	Female	55.5	21.5	31.9	12.5	9.2	19.6	3	0
SSTS	Male	57.5	21.7	32.1	12.6	9.2	20.6	3	0
SSTS	Male	57	21.4	32.2	12.7	9.2	20	3	0
SSTS	Male	57	21.9	32.6	13.1	9.2	21.5	3	0
SSTS	Female	53	21.3	31.2	12.1	9.1	20.5	3	0
SSTS	Male	59	21.9	31.7	12.5	9.1	19.9	3	0
SSTS	Female	54.5	21.8	31.7	12.6	9.1	18.2	3	1
SSTS	Male	59	22.1	31.8	12.8	9.1	20.1	3	0
SSTS	Male	57	22.1	31	12.3	9	19.6	3	0
SSTS	Male	58	22.1	31.2	12.2	9	20.4	3	0
SSTS	Male	59	20.8	31.4	12.2	9	19.9	3	0
SSTS	Male	57.5	21.4	31.8	12.1	9	19.5	3	0
SSTS	Male	55	21.6	31	12.8	8.9	19.2	3	1
SSTS	Female	54	21.1	31.5	12.2	8.9	18.2	3	0
SSTS	Male	60	21.7	31.6	12.6	8.8	20	3	0
SSTS	Male	58.5	21.8	32	12.5	8.8	21	3	0
SESP	Male	63	23.2	35	14.9	12.7	26.1	3	0
SESP	Female	57.5	22.9	34.8	15	12.3	22	3	0
SESP	Female	58	22.6	34.9	14.9	12.2	21.3	3	0
SESP	Male	59	23.5	34.5	15.3	12	22.3	3	0
SESP	Female	58.5	23.8	34.3	14.6	11.9	24	3	0
SESP	Female	54.5	22	33.1	14.4	11.8	19.2	3	0
SESP	Male	64	23.2	35.1	15.2	11.8	25.2	3	0
SESP	Female	57	23.4	34.3	14.5	11.6	21.1	3	0
SESP	Male	61	24.3	32.4	14	11.5	24.3	3	0
SESP	Male	60	24.3	33.7	15.1	11.5	25	3	0
SESP	Male	62	24.4	33.9	14.2	11.5	23.2	3	0
SESP	Male	61	21.6	33.1	14.4	11.4	22.2	3	0
SESP	Male	60.5	24.4	34.2	14.8	11.4	23	3	0
SESP	Male	63	24.8	33.3	15.1	11.3	25	3	1
SESP	Male	63.5	23.4	34	15.2	11.3	22.5	3	0
SESP	Female	59	22.9	34.1	14.4	11.3	20.2	3	0
SESP	Male	61	23.5	32.9	14.3	11.2	23.1	3	0
SESP	Male	62	23.6	33.8	14.7	11.1	24.2	3	0
SESP	Male	63.5	23.5	34	14	11.1	22.5	3	1
SESP	Female	57	22.4	32.9	13.4	11	19.5	3	0
SESP	Female	57	21.8	33.6	14.5	11	22.6	3	0
SESP	Male	61	23.2	34.3	14.3	11	24	3	0
SESP	Female	61	23	34	14.1	10.9	22.7	3	0
SESP	Male	62	22.8	33.9	14.9	10.8	22.5	3	0
SESP	Female	59.5	23.1	34.2	14.4	10.7	21.8	3	0
SESP	Female	57	23.5	32.6	13.3	10.3	23.7	3	0
SSTS	Male	59	21.8	32.8	13.3	10.9	20.5	4	0
SSTS	Male	59	21	30.9	13.5	9.9	20.1	4	0
SSTS	Male	58	21.1	32.4	13.2	9.9	20.6	4	0
SSTS	Male	58	21.7	32.7	13.5	9.9	20.6	4	0
SSTS	Male	56	22	32.1	12.5	9.7	19.1	4	0
SSTS	Male	59	21.3	31.8	14.8	9.6	20.2	4	0
SSTS	Female	57	21.2	31.8	13.6	9.6	18.5	4	1
SSTS	Female	55	20.9	32.1	13.5	9.6	19.2	4	0
SSTS	Male	57	21.7	32.4	13.3	9.6	20.2	4	0
SSTS	Male	60	21.3	32.7	14.1	9.6	20	4	0
SSTS	Male	59	21.6	32.8	13.2	9.6	20.5	4	0
SSTS	Male	58	21	30.1	13.6	9.5	21	4	0
SSTS	Female	54	20.4	30.8	13.8	9.5	20.2	4	0
SSTS	Male	57	20.9	31.6	13.6	9.5	19.5	4	0
SSTS	Female	55	21.6	32.1	13.4	9.5	18.5	4	0
SSTS	Female	55	20.9	32.1	13.1	9.5	17.5	4	0
SSTS	Male	60	21.4	32.2	13.1	9.5	22	4	0
SSTS	Female	57	21.4	32.4	13.9	9.5	19	4	0
SSTS	Female	54	21.3	32.6	13.7	9.5	18.8	4	0
SSTS	Male	59.5	21.3	33.3	14.1	9.5	20.5	4	0
SSTS	Female	56	20.5	31	13.7	9.4	19.5	4	0
SSTS	Male	56	20.7	31.4	12.8	9.4	19.2	4	0
SSTS	Male	55	21.1	31.8	13.1	9.4	19	4	0
SSTS	Male	57	21	31.9	13.8	9.4	20	4	1
SSTS	Female	57	20.4	31.9	13.1	9.4	17.2	4	0
SSTS	Male	55.5	20.8	32.4	13	9.4	19.7	4	0
SSTS	Male	58	21.6	32.7	13.3	9.4	21.5	4	0
SSTS	Male	61	21.7	32.9	12.7	9.4	21.5	4	0
SSTS	Male	59	21.4	32.9	13.3	9.4	20.2	4	0
SSTS	Female	56.5	20.2	31.2	13.2	9.3	23.5	4	0
SSTS	Female	55	21.3	31.5	13.1	9.3	18.2	4	0
SSTS	Male	55	21	31.8	13	9.3	19	4	0
SSTS	Male	58	20.3	32	13.4	9.3	20.2	4	1
SSTS	Male	58	21.3	32.2	13.4	9.3	19.6	4	0
SSTS	Female	55	21.3	32.4	13.4	9.3	20.8	4	0
SSTS	Male	59.5	20.6	29.8	12.9	9.2	19.9	4	0
SSTS	Male	58	21.6	31.3	13.1	9.2	19.5	4	1
SSTS	Female	53.5	20.5	31.6	12.8	9.2	17.9	4	0
SSTS	Male	59	21.8	31.8	12.8	9.2	19.4	4	0
SSTS	Male	58	21.6	32.2	14.1	9.2	18.8	4	1
SSTS	Male	59.5	21.3	32.2	12.6	9.2	19.6	4	1
SSTS	Male	59	20.4	32.5	13.8	9.2	19.5	4	0
SSTS	Female	54.5	21.2	30.9	12.7	9.1	18.7	4	0
SSTS	Male	56	20.4	31	12.7	9.1	18.5	4	1
SSTS	Female	56	21.1	31.3	13.4	9.1	18.1	4	0
SSTS	Male	56	20.7	31.4	13	9.1	18.8	4	0
SSTS	Male	56	20.6	31.4	12.2	9.1	19.2	4	0
SSTS	Male	57	20.9	31.8	12.6	9.1	16.5	4	1
SSTS	Male	58	20.8	31.8	13.1	9.1	19.2	4	0
SSTS	Male	60	21.8	31.9	13.4	9.1	20.5	4	0
SSTS	Male	57	22.2	32	12.7	9.1	19.4	4	1
SSTS	Male	57	21.4	32	13.6	9.1	20.5	4	0
SSTS	Male	59	21.8	32.2	12.5	9.1	21.2	4	0
SSTS	Male	57	20.9	31.1	13.6	9	19.5	4	0
SSTS	Male	58	21	31.2	13.6	9	20.2	4	0
SSTS	Male	58.5	20.8	31.3	12.7	9	19	4	1
SSTS	Male	56.5	20.4	31.4	13.1	9	17.5	4	1
SSTS	Male	58.5	21.6	31.5	14.5	9	21	4	1
SSTS	Female	52	20.6	31.5	12.5	9	19.2	4	0
SSTS	Male	59.5	20.5	31.5	13.3	9	18.5	4	0
SSTS	Female	57	21.3	31.7	12.6	9	19.2	4	0
SSTS	Male	58.5	20.6	30.7	13.8	8.9	20.8	4	0
SSTS	Male	58	21.1	31.4	13.1	8.9	20.8	4	0
SSTS	Male	57	21.4	31.7	13.4	8.9	19.8	4	0
SSTS	Male	58	21.4	32.3	12.6	8.9	20.2	4	0
SSTS	Male	56	20.2	31.4	12.8	8.8	17.9	4	0
SSTS	Male	60	20.9	31.5	12.6	8.8	20.2	4	0
SSTS	Male	59	21.1	30.9	13	8.7	21	4	0
SSTS	Male	59.5	20.4	31.5	13.2	8.7	22	4	0
SSTS	Male	57	20.1	31.7	13.6	8.5	19.2	4	0
SSTS	Female	54	21.1	30.8	12.4	8.4	19.1	4	0
SESP	Male	63	24.4	35.7	16.5	12	26.5	4	0
SESP	Male	62	22.8	34.3	16.6	11.8	25.5	4	0
SESP	Male	64	24.7	35.6	16.6	11.3	24.1	4	0
SESP	Male	62	23.5	34.6	15	11.1	23.2	4	0
SESP	Male	60	23.3	34.2	14.8	10.9	23.2	4	0
SESP	Female	61	23.4	35.2	15.5	10.8	25.5	4	1
SESP	Male	65	24	34.1	14.2	10.6	24.6	4	0
SESP	Male	63	25.4	33.8	15.4	10.4	24	4	0
SESP	Male	63.5	23.1	34.1	14.6	10.4	24.2	4	0
SESP	Female	57	21.9	33.1	13.7	10.1	20.2	4	0
SESP	Male	62	21.5	33.9	14.2	10.1	21.5	4	0
SESP	Female	58	22.5	33.3	14.2	10	21.5	4	0
SSTS	Male	58	22.2	32.6	14.1	10.4	19.5	5	0
SSTS	Male	59	22.7	31.4	12.8	10.1	22.2	5	0
SSTS	Male	59	21.4	30.2	13.4	9.9	19.8	5	0
SSTS	Female	55	20.6	30.5	12.6	9.9	18.8	5	0
SSTS	Male	57	22.1	31.3	13.8	9.9	20.1	5	0
SSTS	Male	60	22.1	30.4	13.3	9.8	21.2	5	0
SSTS	Male	56	21.9	30.6	13.3	9.8	19	5	1
SSTS	Female	55	21.2	31.7	13.5	9.8	18	5	0
SSTS	Female	56	21.7	31.8	12.9	9.8	19	5	0
SSTS	Female	54	20.9	31.9	12.9	9.8	18	5	0
SSTS	Male	57	21.8	32.2	12.7	9.8	20.5	5	0
SSTS	Female	55	20.6	31.2	13.7	9.7	19.5	5	0
SSTS	Female	54	21.5	31.6	13	9.7	18.5	5	0
SSTS	Male	57	21.9	31.7	12.5	9.7	20.2	5	0
SSTS	Female	54	21.8	31.7	13.1	9.7	17	5	0
SSTS	Male	60	21.7	29.7	12.8	9.6	20.6	5	0
SSTS	Female	55	21.2	31.2	13	9.6	17.5	5	1
SSTS	Female	56	20.4	31.2	13.1	9.6	18.8	5	0
SSTS	Male	59	22.6	31.9	13.3	9.6	21.2	5	0
SSTS	Male	58	21.8	32	12.7	9.6	20.5	5	1
SSTS	Male	59	21.1	32.2	13.3	9.6	20.5	5	0
SSTS	Male	57	21	31	13	9.5	20	5	0
SSTS	Male	57	22.3	31.2	13.5	9.5	20.5	5	0
SSTS	Male	61	22	31.4	13.4	9.5	21.8	5	0
SSTS	Male	59	22.2	31.5	13.2	9.5	19.8	5	0
SSTS	Male	57	21.8	32.3	13.1	9.5	20.5	5	0
SSTS	Male	57.5	21.6	30.9	12.4	9.4	20	5	0
SSTS	Male	68	22.5	31.5	12.6	9.4	19.5	5	0
SSTS	Male	57	21.8	31.8	12.5	9.4	21.2	5	0
SSTS	Female	54	21.7	32	13	9.4	19	5	0
SSTS	Female	56	20.4	30.8	13.4	9.3	19.5	5	0
SSTS	Male	58	21	31.4	12.5	9.3	19	5	1
SSTS	Male	56	20.9	31.6	13	9.3	19.4	5	0
SSTS	Male	59	21.4	29.8	13.5	9.2	19.5	5	1
SSTS	Male	57	21.6	31.4	13.3	9.2	19.5	5	0
SSTS	Female	55	21.4	31.6	12.6	9.2	17	5	0
SSTS	Male	58	21.6	31.8	13.1	9.2	20.5	5	1
SSTS	Male	56	21.3	30.5	13	9.1	18.5	5	0
SSTS	Female	54.5	19.5	30.6	13	9.1	17.5	5	0
SSTS	Female	56.5	21.2	31.2	12.6	9.1	16	5	0
SSTS	Male	58	21.9	32.1	13.1	9.1	21.8	5	0
SSTS	Male	59	21	31.1	13.5	9	19.7	5	0
SSTS	Female	55	20.6	31.2	13.1	9	21.5	5	0
SSTS	Female	55	21	29.4	13.1	8.9	19.2	5	0
SESP	Male	63	24.1	35.1	15.6	11.6	25.5	5	0
SSTS	Male	60.5	20.9	31.3	13.5	10.7	21	6	0
SSTS	Male	59	20.7	32.9	13.5	10.7	20.9	6	0
SSTS	Female	54.5	20.9	31.7	13.2	10.6	21.6	6	0
SSTS	Male	59	21.5	31.8	12.7	10.6	20.6	6	0
SSTS	Female	55.5	20.5	31.4	13.2	10.5	15.7	6	0
SSTS	Female	55	21.3	31.6	13.7	10.5	18	6	0
SSTS	Female	56.5	20.1	31.7	13.3	10.4	18.1	6	0
SSTS	Male	57.5	21.4	32.1	13.2	10.4	20.9	6	0
SSTS	Male	58	21.5	32.6	13.3	10.4	20.5	6	0
SSTS	Male	57.5	20.4	31.1	12.2	10.3	19.5	6	0
SSTS	Female	54.5	20.5	31.4	13.2	10.3	25.4	6	0
SSTS	Female	57	20.6	31.6	12.6	10.3	16.2	6	0
SSTS	Male	59	20.1	31.6	13.8	10.3	19.5	6	0
SSTS	Female	55	20.1	31.8	13.6	10.3	16.5	6	1
SSTS	Male	58	21.5	32.9	13.4	10.3	18.6	6	1
SSTS	Female	54	20.8	31	13.1	10.2	20.5	6	0
SSTS	Female	56	21.2	31.2	13.1	10.2	18.1	6	0
SSTS	Female	54	20.7	31.2	13.1	10.2	16.4	6	0
SSTS	Male	58	20.8	31.8	13.2	10.2	20	6	1
SSTS	Male	58	20.5	31.8	12.8	10.2	18.6	6	0
SSTS	Male	58	20.3	32.1	12.8	10.2	19.5	6	0
SSTS	Male	59.5	21.7	32.2	12.8	10.2	20.2	6	0
SSTS	Male	59.5	21.4	32.3	13.5	10.2	21.6	6	0
SSTS	Female	53.5	20.2	30.9	12.8	10.1	17.7	6	0
SSTS	Female	55.5	21.9	31	12.7	10.1	21.5	6	0
SSTS	Male	58	21.1	31.6	13.1	10.1	20.5	6	0
SSTS	Male	58	20.3	31.8	12.6	10.1	18.2	6	1
SSTS	Male	57.5	21	32	13.1	10.1	19.7	6	0
SSTS	Male	57	20.9	32.4	13.7	10.1	20	6	0
SSTS	Male	59.5	20.9	32.7	13.4	10.1	20	6	0
SSTS	Male	55.5	20.9	31.2	13.2	10	20.5	6	0
SSTS	Male	58	20.7	31.5	11.8	10	20.5	6	0
SSTS	Male	56.5	21.6	31.6	12.9	10	19.6	6	0
SSTS	Male	60	20.8	31.6	13.1	10	20	6	0
SSTS	Female	55	20.6	31.6	12.7	10	18.2	6	0
SSTS	Male	59.5	21.3	31.7	12.7	10	20	6	0
SSTS	Male	57	21.2	31.7	13.2	10	19.9	6	0
SSTS	Male	58	20.1	31.7	12.9	10	19.7	6	0
SSTS	Male	57	21.9	31.8	13.1	10	20.2	6	0
SSTS	Male	57	21.5	31.9	13.5	10	21.7	6	0
SSTS	Male	56	21.4	31.9	13	10	19.5	6	1
SSTS	Female	56	20.7	32.1	12.7	10	18	6	0
SSTS	Male	58.5	20.8	31	12.9	9.9	19	6	0
SSTS	Female	54	20.2	31.1	12.8	9.9	17.6	6	0
SSTS	Male	56.5	20.7	31.2	12.7	9.9	21.5	6	0
SSTS	Male	60	20.8	31.3	12.7	9.9	20.5	6	0
SSTS	Female	55	20.1	31.3	12.7	9.9	19	6	0
SSTS	Female	56	20.3	31.4	12.7	9.9	21.5	6	0
SSTS	Female	53	20.8	31.7	13.1	9.9	16.9	6	0
SSTS	Male	57	21.9	31.8	13	9.9	21	6	0
SSTS	Male	59	21.4	31.8	13.3	9.9	20.5	6	0
SSTS	Male	59	21.2	31.9	12.9	9.9	20.6	6	1
SSTS	Male	57	21.8	32.1	13.4	9.9	20.5	6	0
SSTS	Male	56	21.7	32.1	12.7	9.9	20.6	6	0
SSTS	Male	60	21.6	32.2	12.9	9.9	22	6	0
SSTS	Male	58.5	21.8	32.3	12.8	9.9	19.1	6	1
SSTS	Male	57	20.4	30.1	12	9.8	18.2	6	0
SSTS	Male	58	20.4	30.7	12.1	9.8	19.6	6	0
SSTS	Male	58	21.7	30.9	12.9	9.8	20.5	6	0
SSTS	Male	55	21.3	30.9	12.7	9.8	18.5	6	1
SSTS	Male	57	21.2	31.3	12.1	9.8	20.5	6	0
SSTS	Male	59	22.2	31.4	12.5	9.8	20.5	6	0
SSTS	Female	54	19.7	31.6	13.3	9.8	17.9	6	0
SSTS	Female	56.5	20.6	31.7	13.4	9.8	18	6	0
SSTS	Male	60	21.4	31.8	12.9	9.8	20.5	6	0
SSTS	Male	59	21.2	31.8	12.7	9.8	20.2	6	0
SSTS	Male	60	20.8	32	12.9	9.8	22.5	6	0
SSTS	Male	59	21.6	32.4	13	9.8	20.1	6	0
SSTS	Female	54.5	20.1	31.2	12.3	9.7	17.7	6	0
SSTS	Female	57.5	20.8	31.5	13	9.7	20.1	6	0
SSTS	Male	56.5	21.7	31.8	12.9	9.7	20.5	6	0
SSTS	Male	57	20.7	32	12.7	9.7	19.2	6	0
SSTS	Male	58.5	22.1	32.1	13.3	9.7	19.9	6	0
SSTS	Male	57	21.1	32.1	13.3	9.7	19.5	6	0
SSTS	Female	57	21	32.1	13.2	9.7	18.9	6	0
SSTS	Male	58.5	22	32.4	12.6	9.7	20.5	6	0
SSTS	Male	59.5	20.8	32.4	12.9	9.7	21.5	6	0
SSTS	Male	57.5	21.4	32.6	13	9.7	21.5	6	0
SSTS	Male	60	21.1	31	12.3	9.6	20.2	6	0
SSTS	Male	56.5	20.4	31.2	13.1	9.6	20	6	0
SSTS	Male	56	20.7	31.3	12.9	9.6	20	6	0
SSTS	Male	57	21.2	31.5	12.1	9.6	20.5	6	0
SSTS	Male	57	20.6	31.7	12.4	9.6	19	6	0
SSTS	Male	56	20.4	31.8	12.3	9.6	19.5	6	0
SSTS	Female	53	20.5	31.9	12.9	9.6	19	6	0
SSTS	Male	56.5	21.8	32.1	13.1	9.6	19.5	6	0
SSTS	Male	58	21.3	32.6	13.7	9.6	20.5	6	0
SSTS	Male	57	20.7	30.5	13.5	9.5	19.5	6	1
SSTS	Female	54	19.4	30.7	12.2	9.5	17.2	6	0
SSTS	Male	56.5	21.6	31.1	12.7	9.5	19.2	6	0
SSTS	Male	57.5	21	31.1	12.4	9.5	19.5	6	0
SSTS	Female	54.5	20.1	31.2	12.7	9.5	17.7	6	0
SSTS	Female	53.5	21	31.3	13.1	9.5	22	6	0
SSTS	Male	59	21.5	31.5	12.8	9.5	21.2	6	1
SSTS	Female	57	20.5	31.5	12.8	9.5	22	6	0
SSTS	Male	57.5	20.8	31.7	12.2	9.5	17.5	6	1
SSTS	Female	55	20.8	31.7	12.9	9.5	19.7	6	0
SSTS	Male	57	19.9	31.7	12.9	9.5	19.1	6	1
SSTS	Male	58	20.5	31.8	12.7	9.5	18.7	6	0
SSTS	Male	57	21.4	31.9	12.8	9.5	20.5	6	0
SSTS	Male	59	20.5	31.9	13.5	9.5	22	6	0
SSTS	Male	55	21.4	32	12	9.5	20.2	6	0
SSTS	Male	58	21.1	32	13.2	9.5	22.2	6	0
SSTS	Male	57	21.4	32.1	12.7	9.5	21.8	6	0
SSTS	Male	58	21.4	32.4	12.5	9.5	22.5	6	0
SSTS	Male	59	20.9	30.1	12.2	9.4	19.8	6	1
SSTS	Male	59	20.5	31.3	12.5	9.4	21	6	0
SSTS	Male	60.5	21.6	31.5	12.4	9.4	21.5	6	0
SSTS	Male	57	21.7	31.7	13	9.4	19.6	6	0
SSTS	Male	58	21.2	31.7	12.2	9.4	21	6	0
SSTS	Male	58.5	21.5	31.8	12.9	9.4	21	6	0
SSTS	Male	59	21.7	31.9	13.2	9.4	18.8	6	0
SSTS	Male	58.5	20.8	32.3	12.2	9.4	20	6	0
SSTS	Female	54	19.5	30.8	12.1	9.3	17.5	6	0
SSTS	Male	58	20.2	31.5	12.9	9.3	20.5	6	0
SSTS	Male	58	21.6	32.3	12.6	9.3	20	6	0
SSTS	Male	59	21.1	30.8	12.1	9.2	19.2	6	1
SSTS	Male	57.5	21.5	31.5	12.3	9.2	19	6	0
SSTS	Male	58	21.4	31.5	12.7	9.2	19.8	6	0
SSTS	Male	58	20.8	31.5	11.9	9.2	19.6	6	0
SSTS	Male	61.5	21.3	31.9	12.5	9.2	21	6	0
SSTS	Male	57	20.2	31.9	13.2	9.2	20.2	6	0
SSTS	Male	58	21.6	31.3	11.8	9	20.5	6	0
SSTS	Female	54.5	20.2	31.3	13.2	8.9	18	6	0
SSTS	Male	57.5	21.6	31.1	12.2	8.8	20.5	6	1
SESP	Female	60	23.5	33.8	15.3	12.8	22.5	6	0
SESP	Male	61	24.1	35.3	15.3	12.4	24.8	6	0
SESP	Female	58.8	22	33.6	14.8	12.2	22.5	6	0
SESP	Male	61	24.1	35.6	15.3	12.2	23.2	6	1
SESP	Male	59	23.8	34.5	14.9	12.1	22	6	1
SESP	Male	61	23.2	33.6	14.6	11.9	22.1	6	0
SESP	Female	61	21.7	33.3	14.8	11.8	20.5	6	0
SESP	Female	59	22.1	33.6	14.5	11.7	24.6	6	0
SESP	Male	57	22.4	33.9	13.7	11.7	21	6	0
SESP	Male	64.5	22.9	35.1	14.8	11.6	25.8	6	0
SESP	Male	63	23.2	34.6	14.9	11.5	22.6	6	0
SESP	Female	57	23.4	32.1	14.4	11.3	20.5	6	0
SESP	Male	60	21.7	33.4	14.3	11.3	23.6	6	1
SESP	Female	59.5	22.1	33.5	14	11.3	21.5	6	0
SESP	Male	62.5	21.2	34.3	14.8	11.2	23.5	6	0
SESP	Male	63	22.6	34.4	15.2	11.2	21.9	6	0
SESP	Female	58.5	22.8	33.2	13.8	11.1	21	6	0
SESP	Female	57	23	33.3	14	11	20.1	6	0
SESP	Male	61.5	22.6	33.4	14.4	11	23	6	0
SESP	Male	60	23.5	33.8	13.7	11	25	6	0
SESP	Male	64	24	33.9	14.1	11	23.5	6	0
SESP	Male	65	22.6	34.6	14.7	11	23.8	6	0
SESP	Female	57.5	22.6	33.3	14	10.9	25	6	0
SESP	Male	62	23.3	33.9	14.7	10.9	23.5	6	0
SESP	Male	63.5	21.9	34.1	14.6	10.9	25.5	6	0
SESP	Male	62	24.4	34.5	15.2	10.7	24.5	6	0
SESP	Female	60	22.2	31.1	14.4	10.6	24.1	6	0
SESP	Male	63	23.6	34	14.3	10.4	23.5	6	0
SESP	Male	61	22.9	33.7	14.2	10.3	23.2	6	0
SSTS	Male	59	22.8	32.5	14.1	9.9	21	7	0
SSTS	Male	57	20.7	32.1	13.8	9.8	19.4	7	1
SSTS	Male	56.5	20.7	31.2	13.2	9.6	19.5	7	0
SSTS	Male	61	22.1	32	13.6	9.6	21.7	7	0
SSTS	Male	59	22.5	32.4	14	9.6	20.2	7	0
SSTS	Male	59	22.9	32.5	13.4	9.6	22	7	0
SSTS	Male	59.5	21.5	32.5	13.7	9.6	21.5	7	0
SSTS	Male	58	21.2	31.2	12.5	9.5	20.4	7	0
SSTS	Male	58	21.3	31.5	13.8	9.5	20	7	0
SSTS	Female	55	20.9	31.6	13.7	9.5	17.3	7	0
SSTS	Male	57.5	21.2	32.1	13.1	9.5	21.5	7	0
SSTS	Male	58	21.3	32.2	13.6	9.5	20	7	0
SSTS	Male	58	22.5	32.4	13.3	9.5	20.8	7	0
SSTS	Female	55	20.5	31.3	13.1	9.4	16.4	7	0
