Farm	Month	Year	Sex	clas1_4	LCT	KFI	Ecervi	Tb
RF	01	00	1	3	NA	16.7	1.1634	0
RF	01	00	1	4	180	25	13.296	0
RF	01	00	1	3	172	NA	160.7154	0
RF	01	00	1	3	155	10.95	255.948	0
RF	01	00	1	4	177	29	141.7686	0
RF	01	00	1	3	155	45	12.1326	0
RF	01	00	1	3	170	NA	8.8086	NA
RF	01	00	1	3	NA	NA	96.396	NA
RF	01	02	1	4	160	11.885	98.07	0
RF	01	02	1	4	170	NA	NA	NA
RF	01	02	2	3	150	8.9	91.7	0
RF	01	02	NA	3	NA	12.24	71	0
RF	01	02	1	4	NA	9.575	50.87	0
RF	01	02	1	4	NA	11.595	2.21	0
RF	01	02	1	4	173	NA	NA	NA
RF	01	02	2	4	163	14.785	6.7	0
RF	01	02	2	1	118	NA	0	NA
RF	01	02	2	1	114	NA	0	NA
RF	01	02	2	4	162.4	24.385	13.51	1
RF	01	02	2	4	163	29.41	4.79	0
RF	01	02	2	3	NA	NA	NA	NA
RF	11	02	1	4	177	13.595	1442	0
RF	11	02	2	4	158.4	15.535	NA	0
RF	11	02	1	4	168.5	14.265	109.2	0
RF	11	02	2	4	141	25.175	32.9	0
RF	11	02	2	4	158	21.91	NA	0
RF	11	02	2	4	150	71.01	NA	0
RF	11	02	1	4	160	18.165	2.33	0
RF	11	02	2	4	164	29.72	NA	0
RF	11	02	1	4	177.4	NA	NA	NA
RF	11	02	2	4	157	15.5	5.93	0
RF	11	02	NA	NA	NA	NA	543.08	NA
RÑ	12	00	1	3	169	5.5	0	NA
RÑ	12	00	1	3	173	13.3	0.8	NA
RÑ	12	00	1	3	169	12.045	1.2	0
RÑ	12	00	1	4	172	10.75	0	0
RÑ	12	00	1	3	174	NA	0	NA
RÑ	12	00	1	3	166	9.05	0	0
RÑ	12	00	1	2	191	12.15	0	0
RÑ	12	00	1	3	189	11.05	11.9	0
RÑ	12	00	1	3	185	9.4	NA	0
RÑ	12	00	1	3	174	7.9	0	0
RÑ	12	00	1	4	178	10.9	0	0
RÑ	12	00	1	3	NA	8.585	0	0
RÑ	12	00	1	4	159	54.8	40.4	NA
RÑ	12	00	1	4	176	6.8	26.9	0
RÑ	12	00	1	4	160	20.9	32.9	0
RÑ	02	03	2	1	137	NA	0	0
RÑ	02	03	2	1	128	10.445	0	0
RÑ	02	03	1	1	143	31.015	0	0
RÑ	02	03	1	1	134	8.275	0	0
RÑ	02	03	2	3	150	25.205	0	0
RÑ	02	03	2	1	122	18.27	0	0
RÑ	02	03	2	2	151	36.535	0	0
RÑ	02	03	1	1	131	11.29	0	0
RÑ	02	03	2	4	163	80.815	11.85	0
RÑ	02	03	2	4	164.3	44.135	0	0
RO	11	00	1	4	174	16.85	221.3	NA
RO	11	00	1	4	NA	NA	518.2	NA
RO	11	00	1	4	171	12.4	29.4	0
RO	11	00	1	4	NA	7.1	434.85	0
RO	11	00	1	4	169	6.3	63.7	0
RO	11	00	1	4	NA	11	233.3	0
RO	11	00	1	4	178	14.9	556.3	0
RO	11	00	1	3	168	NA	110.4	NA
RO	11	00	1	3	162	13.4	108.1	0
RO	11	00	1	3	182	7.8	71.1	0
RO	11	00	1	3	172	9.3	13.7	NA
RO	11	00	1	3	158	13.85	77.7	0
RO	11	00	1	4	178	NA	NA	NA
RO	11	00	1	4	186	NA	12.1	NA
RO	11	00	1	4	179	NA	160.6	0
RO	11	00	1	4	175	8.6	11.6	0
RO	11	00	1	3	163	NA	2186.6	NA
RO	11	00	1	3	163	9.6	242.5	0
RO	01	02	1	4	159	19.95	8.75	0
RO	01	02	NA	1	NA	NA	NA	NA
RO	01	02	1	4	177	10	45	0
RO	01	02	2	4	162	NA	NA	0
RO	01	02	2	3	156	34.155	NA	0
RO	01	02	2	2	137.9	18.93	6.25	0
RO	01	02	1	1	126.4	10.99	0	0
RO	01	02	2	4	157.5	12.605	2.5	0
RO	01	02	2	4	170	21.565	0	0
RO	01	02	1	4	160	14.715	10	0
RO	01	02	1	4	168	9.19	NA	NA
RO	01	02	1	4	161	6.055	35	0
RO	01	02	1	4	169	NA	NA	0
RO	01	02	2	3	NA	9.54	15	NA
RO	01	02	NA	4	171	NA	NA	NA
RO	01	02	2	4	144	28.7	39	0
RO	01	02	NA	NA	NA	16.74	1.25	NA
RO	01	02	1	4	172.5	23.275	8.75	0
RO	01	02	2	4	169	14.84	NA	0
RO	01	02	2	2	144.9	18.37	15	0
RO	01	02	2	4	151	31.995	8.75	0
RO	01	02	2	2	131	8.095	25	0
RO	01	02	2	4	156	21.81	2.5	0
RO	01	02	2	2	NA	NA	0	NA
RO	11	02	1	4	174	21.045	114.8	0
RO	11	02	1	4	177	9.7	434.02	0
SAL	02	02	NA	4	NA	NA	NA	1
SE	11	01	1	4	181	37.39	0.837	1
SE	11	01	1	3	179	22.755	11.86	0
SE	11	01	1	4	190	36.3	40	1
SE	11	01	1	3	174	36.955	6.77	0
SE	11	01	1	4	191	5.55	0	1
SE	11	01	1	4	188	34.83	57.48	1
SE	11	01	1	4	189	36.31	48.84	1
SE	11	01	1	3	180	21.87	2.2	0
SE	11	01	1	3	194	16.115	110.08	0
SE	11	01	1	4	178	17.43	39.55	1
SE	11	01	1	4	176	22.36	0	1
SE	11	01	1	4	174	24.1	81.31	0
SE	11	01	1	3	177	13.85	19.07	0
TI	01	01	1	4	175	13.05	31.3	NA
TI	01	01	1	4	192	13.1	3.6	0
TI	01	01	1	4	200	13.1	7	NA
TI	01	01	1	4	185	9	22.7	NA
TI	01	01	1	4	184	23.5	14	NA
TI	01	01	1	4	178	15.8	22.9	0
TI	01	01	1	4	188	8.5	4.5	0
TI	01	01	1	4	179	17.55	6.8	0
TI	01	01	1	4	183	NA	0	NA
TI	01	01	1	4	172	10.8	6.5	NA
TI	01	01	1	4	175	9.55	NA	NA
TI	01	01	1	4	182	14.55	49.2	0
TI	01	01	1	4	179	7.75	12.3	0
TI	01	01	1	4	173	NA	NA	NA
TI	01	01	1	4	184	NA	14.5	NA
TI	01	01	1	4	187	16.35	65.1	NA
TI	01	01	1	4	170	17.8	0.8	NA
TI	01	01	1	4	175	17.05	17.6	0
TI	01	01	1	4	179	9.2	8	0
TI	01	01	1	4	184	16.5	10.1	0
TI	01	01	1	4	182	9.8	17.5	NA
TN	02	00	1	4	179	NA	84.24	0
TN	02	00	2	4	160	NA	12.96	NA
TN	02	00	2	2	138	NA	29.16	NA
TN	02	00	2	3	148	NA	109.1718	NA
TN	02	00	1	2	154.5	NA	0	0
TN	02	00	1	2	144.9	NA	84.24	NA
TN	02	00	1	3	155	NA	87.48	0
TN	02	00	2	4	149	NA	53.9946	0
TN	02	00	2	3	148	NA	9.72	NA
TN	02	00	2	3	146.5	NA	38.88	0
TN	02	00	2	2	146	NA	16.2	1
TN	02	00	2	4	160	NA	86.2326	0
TN	02	00	2	3	151	NA	16.2	0
TN	02	00	2	3	157	NA	8.1	0
VY	10	02	1	2	166	26.82	364	NA
VY	10	02	2	4	165	57.14	36.46	NA
VY	10	02	1	3	143	NA	20.12	NA
VY	10	02	1	4	NA	NA	10	NA
VY	10	02	1	NA	NA	NA	NA	NA
VY	10	02	2	4	167	NA	NA	NA
VY	10	02	1	3	141	NA	NA	0
VY	10	02	1	4	148	NA	NA	NA
VY	10	02	1	4	166	NA	NA	NA
VY	10	02	2	4	139	NA	NA	NA
VY	10	02	1	4	177	21.35	NA	NA
VY	10	02	1	2	149	NA	NA	0
VY	10	02	2	4	146	20.77	9.57	NA
VY	10	02	2	4	151	92.49	11.28	0
VY	10	02	1	2	140	19.475	6.24	1
VY	10	02	2	4	149	NA	NA	NA
VY	10	02	2	4	155	NA	NA	0
VY	10	02	1	2	141	NA	NA	NA
VY	10	02	NA	NA	NA	20.15	NA	0
VY	10	02	2	4	170	NA	NA	NA
VY	10	02	2	4	151	NA	NA	0
VY	10	02	2	2	136	20.6	NA	0
VY	10	02	1	3	148	25.815	0	1
VY	10	02	NA	NA	NA	NA	NA	1
VY	10	02	1	4	NA	28.465	NA	1
VY	10	02	2	4	NA	26.34	NA	0
VY	10	02	2	4	NA	25.17	NA	0
VY	10	02	2	4	NA	14.18	NA	NA
VY	10	02	1	3	NA	25.14	0	0
VY	10	02	NA	1	NA	17.545	NA	0
VY	10	02	2	3	NA	19.365	NA	0
VY	10	02	1	1	NA	NA	NA	NA
VY	10	02	2	4	164	47	NA	NA
VY	10	02	2	3	148	NA	NA	NA
VY	10	02	2	1	118	NA	NA	NA
VY	10	02	2	3	152	32.7	NA	NA
VY	10	02	2	3	148	NA	NA	NA
VISO	11	02	1	4	165	42.4	96.6	0
VISO	11	02	1	4	167	30.8	0	0
VISO	11	02	1	4	160	3.155	38.6	0
VISO	11	02	1	4	164.7	21.365	24.1	0
VISO	11	02	1	4	157	30.075	4.9	0
VISO	11	02	1	4	158	61.035	0	0
VISO	11	02	1	4	166.9	42	NA	0
VISO	11	02	1	3	149	56.415	7.99	0
VISO	11	02	1	4	167	97.56	1.4	0
VISO	11	02	1	4	161	99.2	58.3	0
VISO	11	02	1	4	166.1	NA	18.6	NA
VISO	11	02	1	4	166.5	32.755	495	0
VISO	11	02	1	4	114.3	16.39	21.7	0
VISO	11	02	1	4	174.5	21.33	250.9	0
VISO	NA	NA	NA	NA	NA	NA	NA	1
MB	12	02	1	4	184	NA	0	NA
MB	12	02	1	4	190	NA	3.15	NA
MB	12	02	1	4	181.5	NA	7.71	NA
MB	12	02	1	4	182	NA	0	NA
MB	12	02	1	4	185	NA	NA	NA
MB	12	02	1	4	190.7	NA	NA	NA
MB	12	02	1	4	180.7	NA	27.35	0
MB	12	02	1	4	180.3	NA	52.1	NA
MB	12	02	1	4	179.4	NA	2.2	NA
MB	12	02	1	3	177	NA	NA	0
MB	12	02	1	4	172	NA	22.43	NA
MB	12	02	1	4	176	38.26	5.3	0
MB	12	02	1	4	181.2	NA	NA	NA
MB	12	02	1	4	171	NA	1.17	NA
MB	12	02	1	4	179	NA	0	NA
MB	12	02	1	4	179	NA	31.35	NA
MB	12	02	1	4	181.9	NA	3.85	NA
MB	12	02	1	4	172	NA	3.8	NA
MB	12	02	1	2	153	66.105	61.9	0
MB	12	02	1	4	162	NA	NA	NA
MB	12	02	1	3	172.5	NA	24.42	NA
MB	12	02	1	3	168	34.66	31.32	0
MB	12	02	2	NA	115	NA	53.5	NA
MB	12	02	2	4	164.2	118.21	3.5	0
MB	12	02	2	NA	165	NA	NA	NA
MB	12	02	2	4	152.2	34.21	30.2	0
MB	12	02	2	3	146	63.63	57.8	0
MB	12	02	2	4	167	NA	NA	NA
MB	12	02	2	4	166.5	68.025	47.12	0
MB	12	02	2	3	142.2	99.2	0	1
MB	12	02	2	4	159.7	70.73	8	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	2	4	NA	NA	NA	0
PA	12	02	NA	1	NA	NA	NA	0
PA	12	02	1	4	NA	NA	NA	0
SE	10	03	1	1	121.5	9.785	0	0
SE	09	03	2	1	105.5	NA	0	0
SE	09	03	1	1	117	NA	0	0
SE	10	03	2	3	157.5	8.12	19.66	1
SE	10	03	2	2	151.5	6.81	152.67	0
SE	09	03	2	3	167	NA	96.53	0
SE	09	03	2	4	159	NA	0	0
SE	09	03	2	4	161	9.955	40.669	1
SE	10	03	2	2	146.5	6.305	48.94	1
SE	10	03	2	3	162.5	7.415	84.11	0
SE	10	03	2	4	172	8.665	47.94	0
SE	10	03	2	4	175	7.03	260.2	0
SE	10	03	2	3	163.5	11.415	121.41	0
LN	09	03	1	1	118	NA	0	0
LN	09	03	1	1	103	NA	0	0
LN	09	03	1	4	199	NA	125.89	0
LN	09	03	1	3	174	NA	37.03	0
LN	09	03	1	4	198	NA	141.21	0
LN	09	03	1	2	145	NA	33.31	0
LN	09	03	1	4	192	NA	NA	0
LN	09	03	1	3	172	9.335	96.25	1
LN	09	03	2	3	177	NA	73.05	0
LN	09	03	2	3	165	NA	97.97	0
LN	09	03	1	4	184	4.063	127.33	1
LN	09	03	1	4	191	NA	79.81	0
LN	09	03	2	4	165	NA	22.187	0
LN	09	03	2	4	176	NA	86.37	0
CB	08	03	2	2	153.5	NA	21.9	0
CB	08	03	2	4	162	NA	427.3	0
CB	08	03	2	2	143	NA	354.4	0
CB	08	03	2	2	164	NA	20.85	0
CB	08	03	2	3	164	NA	56.85	0
CB	08	03	2	2	160	NA	34.78	0
CB	08	03	2	4	168	NA	145	0
CB	08	03	2	3	165	NA	65.57	0
CB	08	03	2	2	153	NA	40.7	0
CB	08	03	2	2	164	NA	70.009	0
CB	08	03	2	2	147	NA	221.68	0
CB	08	03	2	3	154.5	NA	133.87	0
CB	08	03	2	2	143	NA	88.96	0
CB	08	03	2	4	174.8	NA	109.86	0
CB	08	03	2	2	157	NA	1.9	0
CB	08	03	2	1	114.5	NA	0	0
CB	09	03	2	1	132	NA	0	0
CB	09	03	2	2	166	NA	NA	0
CB	09	03	2	2	162	NA	68.26	0
CB	09	03	2	1	110.3	NA	0	0
CB	09	03	2	1	111.9	NA	0	0
CB	09	03	2	1	120.5	NA	0	0
CB	09	03	1	1	121.5	NA	0	0
CB	06	03	1	2	158	NA	135.88	0
CB	06	03	1	2	148	NA	180.45	0
CB	06	03	2	2	153	NA	335.35	0
CB	06	03	1	3	190	138.87	16.67	0
CB	06	03	2	4	156	NA	NA	0
CB	06	03	2	2	128.5	NA	326.13	0
CB	06	03	1	3	163.5	NA	86.31	0
CB	06	03	2	4	155.2	14.365	288.05	0
CB	06	03	1	4	NA	NA	109.61	0
CB	06	03	1	4	197	NA	62.11	0
CB	06	03	2	3	160	NA	67.59	0
CB	06	03	2	3	174	NA	47.98	0
CB	06	03	2	3	167	NA	88.3	0
CB	06	03	1	2	150	NA	0	0
CB	06	03	1	2	157	NA	35.35	0
CB	06	03	1	2	NA	NA	30.07	0
CB	06	03	1	2	130.5	NA	54.09	0
CB	06	03	1	2	151	4.94	98.39	0
CB	06	03	1	2	NA	NA	16.52	0
CB	06	03	2	3	163	NA	26.06	0
CB	06	03	2	2	162	NA	0	0
CB	06	03	1	2	154	NA	2.199	0
CB	06	03	1	2	148	NA	1.29	0
CB	06	03	1	2	151.5	NA	178.02	0
CB	06	03	1	3	156	NA	0	0
CB	06	03	2	3	153.5	NA	47.84	0
CB	06	03	1	2	NA	NA	76.21	0
CB	06	03	1	2	137.5	NA	71.65	0
CB	06	03	2	4	171	8.175	82.56	1
CB	06	03	1	2	147	NA	134.05	0
CB	07	03	2	2	139.1	5.3	402.14	0
CB	07	03	2	2	137	7.58	NA	1
SAU	02	04	1	2	166	20.435	0	0
SAU	02	04	1	3	182	20.335	0	0
SAU	02	04	1	3	185.5	7.41	0	0
CRC	01	04	1	1	116.5	20.04	0	0
CRC	01	04	1	3	NA	35.79	2.405	0
CRC	01	04	2	2	NA	29.855	4.54	0
HB	02	04	2	4	147	42.6	0	NA
HB	02	04	1	3	142	15.11	0	NA
HB	02	04	2	4	174	16.34	3.33	NA
HB	02	04	1	3	162	11.82	1.15	NA
HB	02	04	1	4	172	10.92	0	NA
HB	02	04	2	4	153	44.745	0	NA
HB	02	04	2	3	NA	32.85	2	NA
MAN	01	05	1	NA	176	48.82	0	0
MAN	01	05	1	NA	182	43.78	0	0
MAN	01	05	1	NA	174	9.35	0	0
MAN	01	05	1	NA	190	35.625	0	NA
MAN	01	05	1	NA	168	8.455	NA	NA
MAN	01	05	1	NA	178	18.165	NA	0
MAN	01	05	1	NA	168	10.975	10	1
MAN	01	05	1	NA	180	NA	0	1
MAN	01	05	1	NA	178	43.81	0	NA
MAN	01	05	1	NA	173	39.475	NA	1
MAN	01	05	2	4	155.5	41.5	NA	1
MAN	01	05	2	4	164	56.47	NA	0
MAN	01	05	2	4	158	79.24	NA	0
MAN	01	05	2	4	158.5	81.37	NA	0
MAN	01	05	2	4	163.5	62.56	NA	0
MAN	01	05	2	4	160	110.96	NA	0
MAN	01	05	2	2	152	33.725	NA	1
MAN	01	05	2	2	148.5	109.3	NA	1
MAN	01	05	2	4	165	100.985	NA	1
MAN	01	05	2	4	159	77.165	0	0
BA	12	04	1	3	170.5	19.645	NA	0
BA	12	04	1	3	166.5	19.455	NA	1
BA	12	04	1	3	157.3	9.675	NA	0
BA	12	04	1	4	177	15.455	NA	0
BA	12	04	1	4	163	13.75	NA	0
BA	12	04	1	4	181.4	9.9	NA	1
BA	12	04	1	3	163.5	NA	NA	0
BA	12	04	2	1	125.3	294.32	NA	0
BA	12	04	2	2	150.4	21.49	NA	0
BA	12	04	2	4	164.8	23.845	NA	NA
BA	12	04	1	1	127.4	19.64	NA	0
BA	12	04	2	4	153.5	24.2	NA	0
BA	12	04	2	4	156.5	40.335	NA	1
BA	12	04	2	4	159	27.66	NA	0
BA	12	04	2	4	155	99.08	NA	0
BA	12	04	2	4	157	40.48	NA	0
BA	12	04	2	2	142	20	NA	0
BA	12	04	1	2	147	18.82	NA	0
BA	12	04	1	1	131	NA	NA	NA
BA	12	04	2	4	184	27.445	NA	0
NV	12	04	2	1	137.7	22.37	NA	0
NV	12	04	2	NA	158.2	22.91	NA	NA
NV	12	04	2	4	163.5	NA	NA	NA
NV	12	04	2	1	139	NA	NA	NA
NV	12	04	2	4	165.7	39.93	NA	NA
NV	12	04	2	4	167	NA	NA	NA
NV	12	04	2	NA	193.7	17.07	NA	0
NV	12	04	2	4	162.5	27.03	0	0
NV	12	04	2	1	137.8	NA	2.43	NA
NV	12	04	2	4	153.5	NA	NA	NA
NV	12	04	2	4	165	4.98	NA	0
NC	11	04	1	4	172	NA	NA	NA
NC	11	04	1	4	172	NA	NA	0
NC	11	04	1	3	177	18.75	0	1
NC	11	04	1	3	190.5	12.32	3.56	0
NC	11	04	1	3	168.2	16.39	0	0
NC	11	04	1	3	175	10.88	0	0
NC	11	04	1	4	172	17.845	32.53	0
NC	11	04	1	3	177	28.57	0	0
NC	11	04	1	4	185.5	14.03	NA	0
NC	11	04	1	4	174	30.17	0	1
NC	11	04	1	4	187.5	15.025	0	1
NC	11	04	1	3	170	17.39	10.17	0
NC	11	04	1	3	160	18.44	3.37	0
NC	11	04	1	3	171	27.67	1.23	0
NC	11	04	1	4	182	9.47	0	0
NC	11	04	1	4	168	8.69	0	0
NC	11	04	1	4	172	8.75	0	0
NC	11	04	1	3	173	14.01	1.24	NA
NC	11	04	1	4	163	12.5	7.25	0
NC	11	04	1	4	169.4	11.8	5.89	0
NC	11	04	1	4	178.6	10.65	8	0
NC	11	04	NA	4	NA	NA	7	1
HB	11	04	1	4	153	7.52	0	0
HB	11	04	1	4	170	13.2	0	0
HB	11	04	1	NA	165	8.08	0	1
HB	11	04	1	3	163	NA	0	0
HB	11	04	1	NA	159	11.94	0	0
HB	11	04	1	NA	163	10.48	0	0
HB	11	04	1	3	149.8	10	0	0
HB	11	04	1	3	159	7.535	0	0
HB	11	04	1	3	143	20.25	0	0
HB	11	04	1	3	145	10	0	0
HB	11	04	1	NA	152	NA	0	0
HB	11	04	1	3	NA	9.52	NA	0
HB	11	04	1	3	NA	8.13	NA	0
HB	11	04	1	3	NA	7.2	NA	0
HB	11	04	1	3	NA	7.85	NA	0
HB	11	04	1	3	160	19.23	NA	0
LCV	10	04	1	4	143.5	NA	NA	1
LCV	10	04	1	4	NA	NA	NA	NA
TN	01	05	1	4	173	NA	0	NA
TN	01	05	1	3	158	16.805	1.91	0
TN	01	05	2	4	167	NA	NA	NA
TN	01	05	2	4	167	42.605	NA	0
TN	01	05	2	2	149	51.62	0	0
TN	01	05	2	2	164	NA	NA	NA
TN	01	05	2	1	124	20.24	0	0
TN	01	05	2	4	144	NA	NA	NA
TN	01	05	1	1	125	8.88	0	0
TN	01	05	1	4	145	NA	0	NA
TN	01	05	2	4	165	19.2	1.76	0
TN	01	05	2	4	163	NA	4.62	NA
TN	01	05	1	NA	NA	NA	NA	NA
TN	01	05	2	1	135	13.39	0	0
TN	01	05	1	NA	176	NA	3.39	0
TN	01	05	2	4	161	23.835	5.96	1
TN	01	05	1	3	156	NA	NA	NA
VY	10	04	2	1	112.5	35.16	NA	0
VY	10	04	2	2	138.5	NA	NA	0
VY	10	04	2	4	168	35.045	NA	0
CRC	02	04	2	2	152.5	125.82	NA	0
CRC	03	04	2	4	NA	NA	NA	NA
CRC	03	04	2	4	NA	NA	NA	NA
CB	10	04	2	4	161	NA	9.49	0
CB	10	04	2	2	149	NA	18.51	0
QM	11	04	1	2	152	NA	NA	0
QM	02	05	1	4	160	NA	466.5	0
QM	02	05	2	4	157	NA	27.75	0
QM	02	05	2	4	153	NA	68.68	0
QM	02	05	2	4	160	NA	NA	0
QM	02	05	2	4	151	NA	NA	0
QM	02	05	1	3	157	NA	NA	0
QM	02	05	2	4	161	NA	NA	0
QM	02	05	1	2	138	NA	92.37	0
QM	02	05	1	4	144.5	NA	72.51	0
QM	02	05	2	3	154	NA	32.54	0
QM	02	05	2	4	157	NA	22.04	0
QM	02	05	1	4	179	NA	123.7	0
QM	02	05	2	4	162	NA	28.12	0
QM	02	05	2	4	152	NA	67.47	0
QM	02	05	1	4	160	NA	124.44	0
QM	02	05	2	4	162	NA	105.45	0
QM	02	05	2	3	154	NA	73.73	0
QM	02	05	2	3	NA	NA	NA	0
QM	02	05	2	4	159	NA	NA	0
QM	02	05	2	3	NA	NA	NA	0
HB	02	05	2	4	156	32.565	NA	0
HB	02	05	1	NA	NA	64.76	NA	0
HB	02	05	1	3	167.5	44.5	NA	NA
HB	02	05	1	4	180.5	42	NA	NA
HB	02	05	1	3	165.5	9.43	NA	0
HB	02	05	1	3	162.5	22.645	NA	0
HB	02	05	1	3	164.5	28.395	NA	0
HB	02	05	1	NA	160.3	30.765	NA	NA
HB	02	05	1	4	165	12.885	NA	NA
HB	02	05	1	3	160	23.875	NA	0
HB	02	05	1	2	144	30.48	NA	NA
HB	02	05	1	3	137	27.89	NA	0
CRC	12	04	2	4	NA	NA	NA	NA
CRC	12	04	1	2	NA	NA	NA	NA
CRC	12	04	2	4	NA	NA	NA	NA
CRC	12	04	2	4	NA	NA	NA	NA
CRC	12	04	2	4	NA	NA	NA	NA
CRC	12	04	1	2	NA	NA	NA	NA
CRC	12	04	2	4	NA	NA	NA	NA
CRC	12	04	2	2	NA	NA	NA	NA
CRC	12	04	2	2	NA	NA	NA	NA
CRC	12	04	2	4	NA	NA	NA	NA
MO	NA	00	2	3	162	83.965	NA	NA
MO	NA	NA	2	4	165	134.21	NA	NA
MO	NA	NA	1	2	163	103.875	NA	NA
MO	NA	NA	1	4	193	140.315	NA	NA
MO	NA	NA	1	2	162	107.69	NA	NA
MO	NA	NA	1	2	173	47.175	NA	NA
MO	NA	NA	1	2	162	54.465	NA	NA
MO	NA	NA	2	1	95	7.4	NA	NA
MO	NA	NA	1	2	178	40.795	NA	NA
MO	NA	NA	2	4	165	50.86	NA	NA
MO	NA	NA	1	4	188	173.805	NA	NA
MO	NA	NA	2	4	157	61.2	NA	NA
MO	NA	NA	1	3	173	81.8	NA	NA
MO	NA	NA	1	2	162	95	NA	NA
MO	NA	NA	1	2	172	98	NA	NA
MO	NA	NA	1	2	173	42.62	NA	NA
MO	NA	NA	2	3	151	62.21	NA	NA
MO	NA	NA	1	2	164	21.515	NA	NA
MO	NA	NA	2	4	166	31.73	NA	NA
MO	NA	NA	1	1	125	42.6	NA	NA
MO	NA	NA	1	1	126	9.465	NA	NA
MO	NA	NA	2	2	146	241	NA	NA
MO	NA	NA	2	4	165	73.105	NA	NA
MO	NA	NA	1	1	131	57.055	NA	NA
MO	NA	NA	1	4	191	106.4	NA	NA
MO	NA	NA	1	4	191	107.75	NA	NA
MO	NA	NA	1	4	202	66	NA	NA
MO	NA	NA	1	3	167	38.915	NA	NA
MO	NA	NA	1	2	172	26.3	NA	NA
MO	NA	NA	1	4	200	70.055	NA	NA
MO	NA	NA	2	4	175	103.9	NA	NA
MO	NA	NA	2	1	133	38.55	NA	NA
MO	NA	NA	1	3	183	35.7	NA	NA
MO	NA	NA	1	3	183	NA	NA	NA
MO	NA	NA	2	NA	161	NA	NA	NA
MO	NA	NA	2	1	126	16.6	NA	NA
MO	NA	NA	2	4	116	125	NA	NA
MO	NA	NA	1	4	185	36.85	NA	NA
MO	NA	NA	1	4	193	20.085	NA	NA
MO	NA	NA	1	2	164	11.825	NA	NA
MO	NA	NA	2	4	168	47.59	NA	NA
MO	NA	NA	1	1	138	20.75	NA	NA
MO	NA	NA	2	4	160	57.7	NA	NA
MO	NA	NA	1	4	183	13.72	NA	NA
MO	NA	NA	1	4	180	14.95	NA	NA
MO	NA	NA	1	NA	193	12.35	NA	NA
MO	NA	NA	1	2	171	39.05	NA	NA
MO	NA	NA	1	4	195	15.85	NA	NA
MO	NA	NA	1	4	187	15.65	NA	NA
MO	NA	NA	2	NA	174	97.2	NA	NA
MO	NA	NA	1	4	190	11.05	NA	NA
MO	NA	NA	1	4	184	17.2	NA	NA
MO	NA	NA	2	1	136	8.65	NA	NA
MO	NA	NA	2	4	160	39.8	NA	NA
MO	NA	NA	2	4	168	2.42	NA	NA
MO	NA	NA	2	4	173	50.4	NA	NA
MO	NA	NA	1	1	146	30.1	NA	NA
MO	NA	NA	1	3	173	NA	NA	NA
MO	NA	NA	1	4	187	NA	NA	NA
MO	NA	NA	1	4	193	NA	NA	NA
